Date,Nifty 50_Open,Nifty 50_High,Nifty 50_Low,Nifty 50_Close,Nifty 50_Volume
12-06-2007,4139.7,4166.9,4100.8,4155.2,73320000
13-06-2007,4155.2,4161.8,4103.0,4113.1,63990000
14-06-2007,4113.2,4174.1,4112.9,4170.0,62820000
15-06-2007,4186.4,4209.5,4153.7,4171.5,62450000
18-06-2007,4177.0,4208.2,4140.3,4147.1,51440000
19-06-2007,4143.9,4222.4,4136.2,4214.3,56230000
20-06-2007,4214.3,4257.0,4214.3,4248.7,65960000
21-06-2007,4248.7,4275.4,4220.1,4267.4,71840000
22-06-2007,4267.6,4278.9,4242.5,4252.1,65620000
25-06-2007,4251.4,4264.3,4236.3,4259.4,75530000
26-06-2007,4259.4,4296.2,4250.1,4285.7,78180000
27-06-2007,4286.2,4294.2,4255.3,4264.0,76760000
28-06-2007,4263.9,4291.4,4256.9,4282.0,117440000
29-06-2007,4282.4,4321.4,4281.0,4318.3,72070000
02-07-2007,4318.4,4346.8,4305.5,4313.8,64310000
03-07-2007,4315.1,4363.4,4313.6,4357.6,60040000
04-07-2007,4358.3,4386.5,4342.0,4359.3,62530000
05-07-2007,4359.2,4378.6,4311.8,4354.0,63670000
06-07-2007,4353.1,4411.0,4304.0,4384.9,83290000
09-07-2007,4385.5,4427.6,4385.5,4419.4,59060000
10-07-2007,4419.1,4434.5,4393.0,4406.1,72590000
11-07-2007,4403.8,4411.5,4344.7,4387.2,77610000
12-07-2007,4388.1,4452.0,4387.1,4446.2,94210000
13-07-2007,4446.4,4513.9,4446.1,4504.6,126460000
16-07-2007,4506.0,4521.9,4496.0,4512.2,100800000
17-07-2007,4497.1,4550.3,4488.3,4496.8,98180000
18-07-2007,4498.7,4510.8,4452.9,4499.6,78470000
19-07-2007,4500.4,4573.0,4496.2,4562.1,84000000
20-07-2007,4563.8,4600.8,4553.8,4566.1,87670000
23-07-2007,4564.3,4628.5,4547.2,4619.4,76300000
24-07-2007,4620.1,4648.0,4609.8,4620.8,81340000
25-07-2007,4620.5,4620.5,4555.8,4588.7,108550000
26-07-2007,4593.1,4624.3,4570.8,4619.8,128900000
27-07-2007,4618.7,4618.9,4424.3,4445.2,134570000
30-07-2007,4442.4,4493.1,4403.7,4440.1,94930000
31-07-2007,4444.3,4534.2,4432.9,4528.9,84260000
01-08-2007,4528.9,4532.9,4339.8,4345.9,104230000
02-08-2007,4356.4,4399.8,4327.0,4356.4,71070000
